date,symbol,sector_code,company_name,open,high,low,close,volume,prev_close
2021-01-21,MEBL-CJAN,40,MEBL-CJAN,0.0,0.0,0.0,113.58,0,112.05
2021-01-21,MEBL-CMAR,40,MEBL-CMAR,0.0,0.0,0.0,115.57,0,114.01
2021-01-21,MEBL-JAN,40,MEBL-JAN,112.0,114.06,111.0,113.94,36000,112.2
2021-01-21,MEHT,0829,Mehmood Tex.,523.0,523.0,488.0,499.0,300,488.0
2021-01-21,MERIT,0822,Merit Packaging,15.6,16.0,15.55,15.71,156000,15.5
2021-01-21,MFFL,0810,MithchellsFruit,435.0,452.0,432.01,448.39,16200,438.69
2021-01-21,MFL,0810,Matco Foods Ltd,26.99,27.38,26.0,26.13,621500,26.99
2021-01-21,MIRKS,0826,Mirpurkhas Sugar,103.95,103.95,103.95,103.95,500,99.96
2021-01-21,MLCF,0804,Maple Leaf,43.2,43.89,43.01,43.3,7944263,42.93
2021-01-21,MLCF-CFEB,40,MLCF-CFEB,0.0,0.0,0.0,43.78,0,43.44
2021-01-21,MLCF-CJAN,40,MLCF-CJAN,0.0,0.0,0.0,43.4,0,43.06
2021-01-21,MLCF-CMAR,40,MLCF-CMAR,0.0,0.0,0.0,44.16,0,43.82
2021-01-21,MLCF-JAN,40,MLCF-JAN,42.95,43.97,42.95,43.42,3249000,42.97
2021-01-21,MODAM,0819,Mod.Al-Mali,5.6,5.6,4.35,4.8,72500,5.23
2021-01-21,MRNS,0826,Mehran Sugar,56.49,56.49,56.0,56.0,2000,56.0
2021-01-21,MSCL,0808,Metro Steel,17.85,17.98,17.79,17.85,3500,17.2
2021-01-21,MSOT,0829,Masood Textile,74.0,74.65,74.0,74.64,14500,69.45
2021-01-21,MTIL,0829,Mian Textile,12.15,12.7,12.15,12.29,112500,11.92
2021-01-21,MTL,0801,Millat Tractors,1108.0,1115.0,1100.0,1110.39,47880,1114.14
2021-01-21,MUGHAL,0808,Mughal Iron,76.85,78.5,76.5,76.69,787500,77.21
2021-01-21,MUGHAL-CFEB,40,MUGHAL-CFEB,0.0,0.0,0.0,77.53,0,78.13
2021-01-21,MUGHAL-CJAN,40,MUGHAL-CJAN,0.0,0.0,0.0,76.86,0,77.45
2021-01-21,MUGHAL-CMAR,40,MUGHAL-CMAR,0.0,0.0,0.0,78.21,0,78.81
2021-01-21,MUGHAL-JAN,40,MUGHAL-JAN,76.97,78.5,76.1,77.19,48000,77.06
2021-01-21,MUREB,0810,Murree Brewery,574.0,574.0,567.15,569.47,1200,580.0
