symbol,open,high,low,close,volume,prev_close,date
UNITY-CFEB,33.83,0.0,0.0,33.83,0,34.59,2021-01-21
UNITY-CJAN,33.53,0.0,0.0,33.53,0,34.29,2021-01-21
UNITY-CMAR,34.12,0.0,0.0,34.12,0,34.89,2021-01-21
UNITY-JAN,34.15,34.4,33.45,33.58,19428,34.22,2021-01-21
UVIC,5.44,0.0,0.0,5.44,0,5.3,2021-01-21
WAHN,252.0,265.0,247.0,255.0,2700,250.43,2021-01-21
WAVES,30.1,30.1,29.3,29.54,1788000,30.04,2021-01-21
WTL,1.16,1.17,1.12,1.13,7409500,1.14,2021-01-21
WYETH,1000.0,1000.0,1000.0,1000.0,80,1000.0,2021-01-21
YOUW,4.61,4.95,4.6,4.84,1370500,4.62,2021-01-21
ZIL,111.9,111.9,110.0,110.17,400,109.17,2021-01-21
ZTL,14.7,14.7,14.0,14.35,23500,14.1,2021-01-21
